Results,Rank
Зафиксированы повышенные максимальные разовые концентрации отдельных загрязняющих веществ в атмосферном воздухе в контрольной точке со стороны автотрассы.,10
Зафиксированы повышенные максимальные разовые концентрации отдельных загрязняющих веществ в атмосферном воздухе в контрольных точках со стороны автотрассы,10
Зафиксированы повышенные максимальные разовые концентрации отдельных загрязняющих веществ в атмосферном воздухе в контрольных точках со стороны автотрассы.,10
Зафиксированы повышенные среднесуточные концентрации отдельных загрязняющих веществ в атмосферном воздухе в контрольных точках со стороны автотрассы.,10
По отдельным веществам в атмосферном воздухе выявлены повышенные значения предельно допустимых максимальных разовых и среднесуточных нормативов.,10
По отдельным веществам в атмосферном воздухе выявлены повышенные максимальные разовые концентрации загрязняющих веществ,9
"По отдельным веществам в атмосферном воздухе выявлены повышенные максимальные разовые концентрации загрязняющих веществ, обусловленные неблагоприятными метеорологическими условиями для рассеивания",8
"По отдельным веществам в атмосферном воздухе выявлены повышенные максимальные разовые концентрации загрязняющих веществ, обусловленные неблагоприятными метеорологическими условиями для рассеивания.",8
По отдельным веществам в атмосферном воздухе выявлены повышенные максимальные разовые концентрации загрязняющих веществ.,9
По отдельным веществам в атмосферном воздухе выявлены повышенные максимальные разовые концентрации загрязняющих веществ..,9
По отдельным веществам в атмосферном воздухе выявлены повышенные среднесуточные концентрации загрязняющих веществ,7
По отдельным веществам в атмосферном воздухе выявлены повышенные среднесуточные концентрации загрязняющих веществ.,7
По отдельным веществам в атмосферном воздухе выявлены превышения предельно допустимых максимальных разовых и среднесуточных нормативов.,8
По отдельным веществам в атмосферном воздухе выявлены превышения предельно допустимых максимальных разовых нормативов,8
"По отдельным веществам в атмосферном воздухе выявлены превышения предельно допустимых максимальных разовых нормативов, данные превышения обусловлены неблагоприятными метеорологическими условиями для рассеивания",8
По отдельным веществам в атмосферном воздухе выявлены превышения предельно допустимых максимальных разовых нормативов.,8
По отдельным веществам в атмосферном воздухе выявлены превышения предельно допустимых среднесуточных нормативов,5
По отдельным веществам в атмосферном воздухе выявлены превышения предельно допустимых среднесуточных нормативов.,5
Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов,0
Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.,0
Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов,0
Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,0
"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.
загрязняющих веществ.",0
Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов/,0
Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых среднесуточных нормативов,0
Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых среднесуточных нормативов.,0
Содержание загрязняющих веществ в атмосферном воздухе на территории не превысило предельно допустимых максимальных разовых нормативов,0
Содержание загрязняющих веществ в атмосферном воздухе на территории не превысило предельно допустимых максимальных разовых нормативов.,0
Содержание загрязняющих веществ в атмосферном воздухе на территории ООПТ не превысило предельно допустимых максимальных разовых нормативов.,0
Содержание загрязняющих веществ в атмосферном воздухе не превысило предельно допустимых максимальных разовых нормативов,0